id,key,value,type
7370646,note,Plantage Middenlaan,regular
7370646,oneway,yes,regular
7370646,smoothness,intermediate,regular
7370646,surface,paving_stones:30,regular
7370646,colour,red,surface
7370646,width,1.80,regular
7370650,highway,service,regular
7370650,name,Waterlooplein,regular
7370650,oneway,no,regular
7370656,name,Jodenbreestraat,regular
7370656,highway,unclassified,regular
7370661,name,Binnenkant,regular
7370661,oneway,yes,regular
7370661,highway,residential,regular
7370664,name,Kromme Waal,regular
7370664,oneway,yes,regular
7370664,highway,unclassified,regular
7370666,name,Nieuwegrachtje,regular
7370666,highway,residential,regular
7370666,maxspeed,50,regular
7370667,lit,yes,regular
7370667,name,Sint Antoniesbreestraat,regular
7370667,oneway,yes,regular
7370667,highway,unclassified,regular
7370667,cycleway,opposite,regular
7370667,left,lane,cycleway
7370667,left:width,1.25,cycleway
7370667,left:surface,asphalt,cycleway
7370667,left:surface:color,red,cycleway
7370670,highway,service,regular
7370671,name,Uilenburgersteeg,regular
7370671,layer,1,regular
7370671,bridge,yes,regular
7370671,highway,unclassified,regular
7370671,cycleway,opposite,regular
7370679,name,Uilenburgersteeg,regular
7370679,highway,unclassified,regular
7370681,lit,yes,regular
7370681,name,Kadijksplein,regular
7370681,highway,unclassified,regular
7370683,name,Uilenburgerwerf,regular
7370683,highway,unclassified,regular
7370686,name,Rapenburgerplein,regular
7370686,highway,unclassified,regular
7370687,lit,yes,regular
7370687,name,Scharrebiersluis,regular
7370687,layer,1,regular
7370687,bridge,yes,regular
7370687,highway,unclassified,regular
7370687,bridge_name,Scharrebiersluis,regular
7370688,lit,yes,regular
7370688,name,Kadijksplein,regular
7370688,highway,unclassified,regular
7370689,name,Kadijksplein,regular
7370689,oneway,yes,regular
7370689,highway,unclassified,regular
7370689,cycleway,opposite,regular
7370690,lit,yes,regular
7370690,highway,unclassified,regular
7370692,name,Oostersekade,regular
7370692,oneway,yes,regular
7370692,highway,unclassified,regular
7370692,cycleway,opposite,regular
7370692,bicycle,no,oneway
7370694,foot,yes,regular
7370694,name,Korte Keizersdwarsstraat,regular
7370694,highway,footway,regular
7370696,highway,unclassified,regular
7370696,name,Korte Koningsstraat,regular
7370696,oneway,-1,regular
7370697,name,Rapenburg,regular
7370697,oneway,yes,regular
7370697,highway,unclassified,regular
7370697,maxspeed,50,regular
7370700,highway,unclassified,regular
7370700,name,Krom Boomssloot,regular
7370700,oneway,yes,regular
7370700,surface,paving_stones,regular
7370703,name,Rapenburg,regular
7370703,oneway,yes,regular
7370703,bicycle,use_sidepath,regular
7370703,highway,unclassified,regular
7370703,maxspeed,50,regular
7370704,name,Rapenburg,regular
7370704,bicycle,use_sidepath,regular
7370704,highway,unclassified,regular
7370705,name,Rapenburg,regular
7370705,oneway,yes,regular
7370705,highway,unclassified,regular
7370705,cycleway,opposite,regular
7370710,name,Nieuwe Batavierstraat,regular
7370710,highway,cycleway,regular
7370713,name,Kadijksplein,regular
7370713,highway,unclassified,regular
